4,11,1812,663,93,39,1,1,-1,-1
4,10,1338,558,77,33,1,1,-1,-1
4,9,11,567,83,33,1,1,-1,-1
4,8,658,657,94,42,1,1,-1,-1
4,7,418,597,86,36,1,1,-1,-1
4,6,566,538,79,34,1,1,-1,-1
4,5,446,654,96,43,1,1,-1,-1
4,4,207,562,81,32,1,1,-1,-1
4,3,1016,638,91,43,1,1,-1,-1
4,2,984,578,79,35,1,1,-1,-1
4,1,1374,709,94,42,1,1,-1,-1
5,23,770,373,62,73,1,0,-1,-1
5,22,1167,372,126,91,1,0,-1,-1
5,21,1398,400,107,136,1,0,-1,-1
5,20,220,606,88,41,1,1,-1,-1
5,19,1622,605,84,38,1,1,-1,-1
5,18,1212,645,90,39,1,1,-1,-1
5,17,1122,706,95,41,1,1,-1,-1
5,16,1591,662,94,38,1,1,-1,-1
5,15,1430,605,85,40,1,1,-1,-1
5,14,761,538,75,34,1,1,-1,-1
5,13,1156,553,77,35,1,1,-1,-1
5,12,802,587,84,35,1,1,-1,-1
5,11,1814,664,92,38,1,1,-1,-1
5,10,1340,558,77,33,1,1,-1,-1
5,9,13,568,83,33,1,1,-1,-1
5,8,658,657,93,42,1,1,-1,-1
5,7,420,598,85,35,1,1,-1,-1
5,6,569,539,76,33,1,1,-1,-1
5,5,451,655,93,42,1,1,-1,-1
5,4,207,563,83,32,1,1,-1,-1
5,3,1017,639,92,43,1,1,-1,-1
5,2,986,579,78,35,1,1,-1,-1
5,1,1375,709,94,42,1,1,-1,-1
6,23,770,372,63,74,1,0,-1,-1
6,22,1164,368,123,84,1,0,-1,-1
6,21,1399,398,104,137,1,0,-1,-1
6,20,222,606,87,41,1,1,-1,-1
6,19,1623,604,84,38,1,1,-1,-1
6,18,1213,645,90,39,1,1,-1,-1
6,17,1124,705,94,41,1,1,-1,-1
6,16,1591,662,94,38,1,1,-1,-1
6,15,1430,604,86,40,1,1,-1,-1
6,14,761,538,75,34,1,1,-1,-1
6,13,1160,553,75,34,1,1,-1,-1
6,12,802,587,84,35,1,1,-1,-1
6,11,1814,664,92,38,1,1,-1,-1
6,10,1341,558,77,33,1,1,-1,-1
6,9,13,568,83,33,1,1,-1,-1
6,8,660,657,94,42,1,1,-1,-1
6,7,421,598,85,35,1,1,-1,-1
6,6,570,539,75,33,1,1,-1,-1
6,5,452,656,91,41,1,1,-1,-1
6,4,209,563,84,32,1,1,-1,-1
6,3,1018,638,92,44,1,1,-1,-1
6,2,987,578,79,35,1,1,-1,-1
6,1,1375,709,95,42,1,1,-1,-1
7,23,768,372,64,75,1,0,-1,-1
7,22,1162,368,122,82,1,0,-1,-1
7,21,1397,397,103,138,1,0,-1,-1
7,20,221,606,88,41,1,1,-1,-1
7,19,1623,604,84,38,1,1,-1,-1
7,18,1211,645,90,39,1,1,-1,-1
7,17,1123,705,95,41,1,1,-1,-1
7,16,1591,662,94,38,1,1,-1,-1
7,15,1429,604,85,40,1,1,-1,-1
7,14,761,538,76,34,1,1,-1,-1
7,13,1158,553,76,35,1,1,-1,-1
7,12,802,588,84,35,1,1,-1,-1
7,11,1813,664,93,38,1,1,-1,-1
7,10,1339,558,77,33,1,1,-1,-1
7,9,13,568,83,34,1,1,-1,-1
7,8,659,657,94,42,1,1,-1,-1
7,7,421,598,85,35,1,1,-1,-1
7,6,568,539,77,34,1,1,-1,-1
7,5,449,655,93,42,1,1,-1,-1
7,4,207,563,83,32,1,1,-1,-1
7,3,1017,638,92,44,1,1,-1,-1
7,2,985,578,79,35,1,1,-1,-1
7,1,1374,709,94,42,1,1,-1,-1
